Zip Code,Total
ZCTA5 47373,2015
ZCTA5 47374,45304
ZCTA5 47380,1917
ZCTA5 47381,139
ZCTA5 47382,136
ZCTA5 47383,2724
ZCTA5 47384,1936
ZCTA5 47385,1581
ZCTA5 47386,1085
ZCTA5 47387,726
ZCTA5 47388,292
ZCTA5 47390,5061
ZCTA5 47392,100
ZCTA5 47393,1745
ZCTA5 47394,8064
ZCTA5 47396,7446
ZCTA5 47401,41225
ZCTA5 47403,33066
ZCTA5 47404,23799
ZCTA5 47405,305
ZCTA5 47406,7924
ZCTA5 47408,22917
ZCTA5 47420,176
ZCTA5 47421,27798
ZCTA5 47424,8893
ZCTA5 47427,1082
ZCTA5 47429,7485
ZCTA5 47431,1316
ZCTA5 47432,4429
ZCTA5 47433,3974
ZCTA5 47434,19
ZCTA5 47435,7
ZCTA5 47436,1440
ZCTA5 47437,91
ZCTA5 47438,4032
ZCTA5 47441,8972
ZCTA5 47443,1134
ZCTA5 47445,90
ZCTA5 47446,9425
ZCTA5 47448,7816
ZCTA5 47449,482
ZCTA5 47451,1177
ZCTA5 47452,5285
ZCTA5 47453,366
ZCTA5 47454,7684
ZCTA5 47455,55
ZCTA5 47456,1302
ZCTA5 47457,25
ZCTA5 47458,34
ZCTA5 47459,3346
ZCTA5 47460,11560
ZCTA5 47462,4850
ZCTA5 47464,198
ZCTA5 47465,666
ZCTA5 47467,34
ZCTA5 47468,1180
ZCTA5 47469,1782
ZCTA5 47470,1516
ZCTA5 47471,2567
ZCTA5 47501,18003
ZCTA5 47512,4002
ZCTA5 47513,2057
ZCTA5 47514,1647
ZCTA5 47515,819
ZCTA5 47516,1246
ZCTA5 47519,556
ZCTA5 47520,3230
ZCTA5 47521,972
ZCTA5 47522,250
ZCTA5 47523,3433
ZCTA5 47524,494
ZCTA5 47525,337
ZCTA5 47527,1918
ZCTA5 47528,519
ZCTA5 47529,1004
ZCTA5 47531,906
ZCTA5 47532,4507
ZCTA5 47535,582
ZCTA5 47537,782
ZCTA5 47541,1228
ZCTA5 47542,9992
ZCTA5 47546,22445
ZCTA5 47550,797
ZCTA5 47551,592
ZCTA5 47552,174
ZCTA5 47553,8625
ZCTA5 47557,1329
ZCTA5 47558,5021
ZCTA5 47561,1514
ZCTA5 47562,4994
ZCTA5 47564,1375
ZCTA5 47567,5804
ZCTA5 47568,848
ZCTA5 47573,31
ZCTA5 47574,148
ZCTA5 47575,1015
ZCTA5 47576,378
ZCTA5 47577,1222
ZCTA5 47578,649
ZCTA5 47579,2715
ZCTA5 47580,252
ZCTA5 47581,3534
ZCTA5 47584,154
ZCTA5 47585,429
ZCTA5 47586,11027
ZCTA5 47588,591
ZCTA5 47590,779
ZCTA5 47591,24984
ZCTA5 47596,191
ZCTA5 47597,961
ZCTA5 47598,3107
ZCTA5 47601,14088
ZCTA5 47610,5442
ZCTA5 47611,1157
ZCTA5 47612,868
ZCTA5 47613,2694
ZCTA5 47615,1477
ZCTA5 47616,305
ZCTA5 47619,1535
ZCTA5 47620,12989
ZCTA5 47630,38309
ZCTA5 47631,1908
ZCTA5 47633,2455
ZCTA5 47634,2193
ZCTA5 47635,5178
ZCTA5 47637,1396
ZCTA5 47638,3620
ZCTA5 47639,4549
ZCTA5 47640,950
ZCTA5 47648,4510
ZCTA5 47649,1374
ZCTA5 47654,41
ZCTA5 47660,4762
ZCTA5 47665,3798
ZCTA5 47666,1332
ZCTA5 47670,11934
ZCTA5 47683,83
ZCTA5 47708,501
ZCTA5 47710,18470
ZCTA5 47711,31266
ZCTA5 47712,24895
ZCTA5 47713,9916
ZCTA5 47714,32827
ZCTA5 47715,28959
ZCTA5 47720,17188
ZCTA5 47725,19220
ZCTA5 47802,34229
ZCTA5 47803,21832
ZCTA5 47804,10093
ZCTA5 47805,12875
ZCTA5 47807,12063
ZCTA5 47809,2360
ZCTA5 47831,17
ZCTA5 47832,919
ZCTA5 47833,1043
ZCTA5 47834,19430
ZCTA5 47836,36
ZCTA5 47837,1186
ZCTA5 47838,3931
ZCTA5 47840,1420
ZCTA5 47841,2135
ZCTA5 47842,9790
ZCTA5 47845,177
ZCTA5 47846,661
ZCTA5 47847,1014
ZCTA5 47848,1523
ZCTA5 47849,407
ZCTA5 47850,2389
ZCTA5 47851,14
ZCTA5 47853,184
ZCTA5 47854,850
ZCTA5 47855,680
ZCTA5 47857,443
ZCTA5 47858,628
ZCTA5 47859,1096
ZCTA5 47860,243
ZCTA5 47861,556
ZCTA5 47862,1548
ZCTA5 47863,146
ZCTA5 47865,25
ZCTA5 47866,443
ZCTA5 47868,2776
ZCTA5 47869,116
ZCTA5 47870,6
ZCTA5 47871,235
ZCTA5 47872,8075
ZCTA5 47874,3161
ZCTA5 47875,6
ZCTA5 47876,348
ZCTA5 47879,2908
ZCTA5 47880,61
ZCTA5 47881,332
ZCTA5 47882,8487
ZCTA5 47884,214
ZCTA5 47885,9231
ZCTA5 47901,3750
ZCTA5 47904,16571
ZCTA5 47905,41787
ZCTA5 47906,73579
ZCTA5 47907,17
ZCTA5 47909,42759
ZCTA5 47916,66
ZCTA5 47917,436
