GEO_ID,NAME,P2_001N,P2_002N,P2_003N,P2_004N,
Geography,Geographic Area Name, !!Total:, !!Total:!!Urban, !!Total:!!Rural, !!Total:!!Not defined for this file,Predominant Type
860Z200US46348,ZCTA5 46348,1127,0,1127,0,Rural
860Z200US46349,ZCTA5 46349,3219,0,3219,0,Rural
860Z200US46350,ZCTA5 46350,44522,27784,16738,0,Urban
860Z200US46356,ZCTA5 46356,18668,10747,7921,0,Urban
860Z200US46360,ZCTA5 46360,44209,38932,5277,0,Urban
860Z200US46365,ZCTA5 46365,1037,0,1037,0,Rural
860Z200US46366,ZCTA5 46366,5826,0,5826,0,Rural
860Z200US46368,ZCTA5 46368,39837,39506,331,0,Urban
860Z200US46371,ZCTA5 46371,3680,0,3680,0,Rural
860Z200US46373,ZCTA5 46373,17839,17839,0,0,Urban
860Z200US46374,ZCTA5 46374,1006,0,1006,0,Rural
860Z200US46375,ZCTA5 46375,24051,24051,0,0,Urban
860Z200US46376,ZCTA5 46376,367,0,367,0,Rural
860Z200US46377,ZCTA5 46377,194,0,194,0,Rural
860Z200US46379,ZCTA5 46379,295,0,295,0,Rural
860Z200US46381,ZCTA5 46381,287,0,287,0,Rural
860Z200US46382,ZCTA5 46382,2094,0,2094,0,Rural
860Z200US46383,ZCTA5 46383,41981,32911,9070,0,Urban
860Z200US46385,ZCTA5 46385,41832,32545,9287,0,Urban
860Z200US46390,ZCTA5 46390,2824,0,2824,0,Rural
860Z200US46391,ZCTA5 46391,9077,5182,3895,0,Urban
860Z200US46392,ZCTA5 46392,7855,0,7855,0,Rural
860Z200US46393,ZCTA5 46393,376,0,376,0,Rural
860Z200US46394,ZCTA5 46394,11725,11725,0,0,Urban
860Z200US46402,ZCTA5 46402,5502,5502,0,0,Urban
860Z200US46403,ZCTA5 46403,11649,11568,81,0,Urban
860Z200US46404,ZCTA5 46404,15658,15658,0,0,Urban
860Z200US46405,ZCTA5 46405,11860,11860,0,0,Urban
860Z200US46406,ZCTA5 46406,8776,8776,0,0,Urban
860Z200US46407,ZCTA5 46407,9862,9862,0,0,Urban
860Z200US46408,ZCTA5 46408,15109,15109,0,0,Urban
860Z200US46409,ZCTA5 46409,6975,6975,0,0,Urban
860Z200US46410,ZCTA5 46410,39471,38504,967,0,Urban
860Z200US46501,ZCTA5 46501,3891,0,3891,0,Rural
860Z200US46502,ZCTA5 46502,34,0,34,0,Rural
860Z200US46504,ZCTA5 46504,3241,0,3241,0,Rural
860Z200US46506,ZCTA5 46506,10083,0,10083,0,Rural
860Z200US46507,ZCTA5 46507,9371,4835,4536,0,Urban
860Z200US46508,ZCTA5 46508,137,0,137,0,Rural
860Z200US46510,ZCTA5 46510,3393,0,3393,0,Rural
860Z200US46511,ZCTA5 46511,4008,0,4008,0,Rural
860Z200US46513,ZCTA5 46513,64,0,64,0,Rural
860Z200US46514,ZCTA5 46514,42048,39887,2161,0,Urban
860Z200US46516,ZCTA5 46516,33670,33646,24,0,Urban
860Z200US46517,ZCTA5 46517,24006,22158,1848,0,Urban
860Z200US46524,ZCTA5 46524,2376,0,2376,0,Rural
860Z200US46526,ZCTA5 46526,33170,27911,5259,0,Urban
860Z200US46528,ZCTA5 46528,27223,18155,9068,0,Urban
860Z200US46530,ZCTA5 46530,31805,31096,709,0,Urban
860Z200US46531,ZCTA5 46531,1387,0,1387,0,Rural
860Z200US46532,ZCTA5 46532,1751,0,1751,0,Rural
860Z200US46534,ZCTA5 46534,11247,0,11247,0,Rural
860Z200US46536,ZCTA5 46536,3257,0,3257,0,Rural
860Z200US46537,ZCTA5 46537,502,0,502,0,Rural
860Z200US46538,ZCTA5 46538,4047,1321,2726,0,Rural
860Z200US46539,ZCTA5 46539,2245,0,2245,0,Rural
860Z200US46540,ZCTA5 46540,12552,0,12552,0,Rural
860Z200US46542,ZCTA5 46542,4526,292,4234,0,Rural
860Z200US46543,ZCTA5 46543,4273,0,4273,0,Rural
860Z200US46544,ZCTA5 46544,31571,29886,1685,0,Urban
860Z200US46545,ZCTA5 46545,26312,25560,752,0,Urban
860Z200US46550,ZCTA5 46550,12679,7250,5429,0,Urban
860Z200US46552,ZCTA5 46552,6478,0,6478,0,Rural
860Z200US46553,ZCTA5 46553,3849,1587,2262,0,Rural
860Z200US46554,ZCTA5 46554,4379,0,4379,0,Rural
860Z200US46555,ZCTA5 46555,2729,0,2729,0,Rural
860Z200US46556,ZCTA5 46556,8845,8845,0,0,Urban
860Z200US46561,ZCTA5 46561,14155,13035,1120,0,Urban
860Z200US46562,ZCTA5 46562,4718,540,4178,0,Rural
860Z200US46563,ZCTA5 46563,22977,12279,10698,0,Urban
860Z200US46565,ZCTA5 46565,9104,0,9104,0,Rural
860Z200US46567,ZCTA5 46567,9773,6049,3724,0,Urban
860Z200US46570,ZCTA5 46570,1090,0,1090,0,Rural
860Z200US46571,ZCTA5 46571,6203,0,6203,0,Rural
860Z200US46572,ZCTA5 46572,112,0,112,0,Rural
860Z200US46573,ZCTA5 46573,3835,0,3835,0,Rural
860Z200US46574,ZCTA5 46574,8377,0,8377,0,Rural
860Z200US46580,ZCTA5 46580,22381,16316,6065,0,Urban
860Z200US46582,ZCTA5 46582,14151,10387,3764,0,Urban
860Z200US46590,ZCTA5 46590,5053,5053,0,0,Urban
860Z200US46595,ZCTA5 46595,94,0,94,0,Rural
860Z200US46601,ZCTA5 46601,5947,5947,0,0,Urban
860Z200US46613,ZCTA5 46613,11427,11427,0,0,Urban
860Z200US46614,ZCTA5 46614,29917,26125,3792,0,Urban
860Z200US46615,ZCTA5 46615,14777,14777,0,0,Urban
860Z200US46616,ZCTA5 46616,6167,6167,0,0,Urban
860Z200US46617,ZCTA5 46617,9813,9813,0,0,Urban
860Z200US46619,ZCTA5 46619,20527,19187,1340,0,Urban
860Z200US46624,ZCTA5 46624,38,38,0,0,Urban
860Z200US46628,ZCTA5 46628,27011,25245,1766,0,Urban
860Z200US46635,ZCTA5 46635,6420,6420,0,0,Urban
860Z200US46637,ZCTA5 46637,15887,15887,0,0,Urban
860Z200US46701,ZCTA5 46701,7687,0,7687,0,Rural
860Z200US46702,ZCTA5 46702,2172,0,2172,0,Rural
860Z200US46703,ZCTA5 46703,18837,11948,6889,0,Urban
860Z200US46704,ZCTA5 46704,119,0,119,0,Rural
860Z200US46705,ZCTA5 46705,1716,0,1716,0,Rural
860Z200US46706,ZCTA5 46706,19995,13594,6401,0,Urban
860Z200US46710,ZCTA5 46710,4649,0,4649,0,Rural
860Z200US46711,ZCTA5 46711,8022,0,8022,0,Rural
860Z200US46714,ZCTA5 46714,15411,10346,5065,0,Urban
860Z200US46721,ZCTA5 46721,4907,0,4907,0,Rural
860Z200US46723,ZCTA5 46723,7383,0,7383,0,Rural
860Z200US46725,ZCTA5 46725,23917,10256,13661,0,Rural
860Z200US46730,ZCTA5 46730,1316,0,1316,0,Rural
860Z200US46731,ZCTA5 46731,578,0,578,0,Rural
860Z200US46732,ZCTA5 46732,2949,1052,1897,0,Rural
860Z200US46733,ZCTA5 46733,18669,10441,8228,0,Urban
860Z200US46737,ZCTA5 46737,6898,645,6253,0,Rural
860Z200US46738,ZCTA5 46738,8183,6752,1431,0,Urban
860Z200US46740,ZCTA5 46740,4608,0,4608,0,Rural
860Z200US46741,ZCTA5 46741,4657,0,4657,0,Rural
860Z200US46742,ZCTA5 46742,3259,0,3259,0,Rural
860Z200US46743,ZCTA5 46743,2309,0,2309,0,Rural
860Z200US46745,ZCTA5 46745,1792,0,1792,0,Rural
860Z200US46746,ZCTA5 46746,4003,0,4003,0,Rural
860Z200US46747,ZCTA5 46747,2743,0,2743,0,Rural
860Z200US46748,ZCTA5 46748,7203,5286,1917,0,Urban
860Z200US46750,ZCTA5 46750,26580,17555,9025,0,Urban
860Z200US46755,ZCTA5 46755,15721,10587,5134,0,Urban
860Z200US46759,ZCTA5 46759,508,0,508,0,Rural
860Z200US46760,ZCTA5 46760,1264,0,1264,0,Rural
860Z200US46761,ZCTA5 46761,12902,0,12902,0,Rural
860Z200US46763,ZCTA5 46763,1702,0,1702,0,Rural
860Z200US46764,ZCTA5 46764,1379,0,1379,0,Rural
860Z200US46765,ZCTA5 46765,5580,0,5580,0,Rural
860Z200US46766,ZCTA5 46766,545,0,545,0,Rural
860Z200US46767,ZCTA5 46767,8599,0,8599,0,Rural
860Z200US46770,ZCTA5 46770,2734,0,2734,0,Rural
860Z200US46771,ZCTA5 46771,54,0,54,0,Rural
860Z200US46772,ZCTA5 46772,3929,0,3929,0,Rural
860Z200US46773,ZCTA5 46773,3685,0,3685,0,Rural
860Z200US46774,ZCTA5 46774,17341,13705,3636,0,Urban
860Z200US46776,ZCTA5 46776,1528,0,1528,0,Rural
860Z200US46777,ZCTA5 46777,6348,0,6348,0,Rural
860Z200US46778,ZCTA5 46778,196,0,196,0,Rural
860Z200US46779,ZCTA5 46779,2006,93,1913,0,Rural
860Z200US46781,ZCTA5 46781,789,0,789,0,Rural
860Z200US46783,ZCTA5 46783,7521,0,7521,0,Rural
860Z200US46784,ZCTA5 46784,2211,0,2211,0,Rural
860Z200US46785,ZCTA5 46785,1650,0,1650,0,Rural
860Z200US46786,ZCTA5 46786,82,0,82,0,Rural
860Z200US46787,ZCTA5 46787,3902,0,3902,0,Rural
860Z200US46788,ZCTA5 46788,3396,0,3396,0,Rural
860Z200US46789,ZCTA5 46789,80,0,80,0,Rural
860Z200US46791,ZCTA5 46791,922,0,922,0,Rural
860Z200US46792,ZCTA5 46792,3673,0,3673,0,Rural
860Z200US46793,ZCTA5 46793,4043,0,4043,0,Rural
860Z200US46794,ZCTA5 46794,1406,0,1406,0,Rural
860Z200US46795,ZCTA5 46795,6190,0,6190,0,Rural
860Z200US46796,ZCTA5 46796,57,0,57,0,Rural
860Z200US46797,ZCTA5 46797,4008,0,4008,0,Rural
860Z200US46798,ZCTA5 46798,1290,366,924,0,Rural
860Z200US46799,ZCTA5 46799,448,0,448,0,Rural
860Z200US46802,ZCTA5 46802,10664,10664,0,0,Urban
860Z200US46803,ZCTA5 46803,9686,9686,0,0,Urban
860Z200US46804,ZCTA5 46804,28800,28800,0,0,Urban
860Z200US46805,ZCTA5 46805,21138,21138,0,0,Urban
860Z200US46806,ZCTA5 46806,26083,25821,262,0,Urban
860Z200US46807,ZCTA5 46807,16489,16489,0,0,Urban
860Z200US46808,ZCTA5 46808,19894,19854,40,0,Urban
860Z200US46809,ZCTA5 46809,8946,8030,916,0,Urban
860Z200US46814,ZCTA5 46814,16377,16012,365,0,Urban
860Z200US46815,ZCTA5 46815,27927,27710,217,0,Urban
860Z200US46816,ZCTA5 46816,19012,16035,2977,0,Urban
860Z200US46818,ZCTA5 46818,22071,17558,4513,0,Urban
860Z200US46819,ZCTA5 46819,8969,7249,1720,0,Urban
860Z200US46825,ZCTA5 46825,29062,29062,0,0,Urban
860Z200US46835,ZCTA5 46835,36653,35200,1453,0,Urban
860Z200US46845,ZCTA5 46845,28380,27269,1111,0,Urban
860Z200US46901,ZCTA5 46901,38072,29486,8586,0,Urban
860Z200US46902,ZCTA5 46902,36038,32881,3157,0,Urban
860Z200US46910,ZCTA5 46910,3283,0,3283,0,Rural
860Z200US46911,ZCTA5 46911,1396,0,1396,0,Rural
860Z200US46913,ZCTA5 46913,1400,0,1400,0,Rural
860Z200US46914,ZCTA5 46914,4785,3847,938,0,Urban
860Z200US46915,ZCTA5 46915,617,0,617,0,Rural
860Z200US46917,ZCTA5 46917,1734,0,1734,0,Rural
860Z200US46919,ZCTA5 46919,2202,0,2202,0,Rural
860Z200US46920,ZCTA5 46920,1131,0,1131,0,Rural
860Z200US46922,ZCTA5 46922,32,0,32,0,Rural
860Z200US46923,ZCTA5 46923,8162,0,8162,0,Rural
860Z200US46926,ZCTA5 46926,1639,0,1639,0,Rural
860Z200US46928,ZCTA5 46928,4557,0,4557,0,Rural
860Z200US46929,ZCTA5 46929,3210,0,3210,0,Rural
860Z200US46930,ZCTA5 46930,268,0,268,0,Rural
860Z200US46931,ZCTA5 46931,286,0,286,0,Rural
860Z200US46932,ZCTA5 46932,3254,0,3254,0,Rural
860Z200US46933,ZCTA5 46933,6617,6118,499,0,Urban
860Z200US46936,ZCTA5 46936,5800,0,5800,0,Rural
860Z200US46937,ZCTA5 46937,114,0,114,0,Rural
860Z200US46938,ZCTA5 46938,2824,1662,1162,0,Urban
860Z200US46939,ZCTA5 46939,1917,0,1917,0,Rural
860Z200US46940,ZCTA5 46940,2538,0,2538,0,Rural
860Z200US46941,ZCTA5 46941,1123,0,1123,0,Rural
860Z200US46943,ZCTA5 46943,250,0,250,0,Rural
860Z200US46945,ZCTA5 46945,15,0,15,0,Rural
860Z200US46946,ZCTA5 46946,132,0,132,0,Rural
860Z200US46947,ZCTA5 46947,28295,20374,7921,0,Urban
860Z200US46950,ZCTA5 46950,615,0,615,0,Rural
860Z200US46951,ZCTA5 46951,2118,0,2118,0,Rural
860Z200US46952,ZCTA5 46952,18996,13851,5145,0,Urban
860Z200US46953,ZCTA5 46953,22781,18378,4403,0,Urban
860Z200US46957,ZCTA5 46957,483,0,483,0,Rural
860Z200US46958,ZCTA5 46958,542,0,542,0,Rural
860Z200US46959,ZCTA5 46959,148,0,148,0,Rural
860Z200US46960,ZCTA5 46960,1102,0,1102,0,Rural
860Z200US46961,ZCTA5 46961,97,0,97,0,Rural
860Z200US46962,ZCTA5 46962,8592,5188,3404,0,Urban
860Z200US46965,ZCTA5 46965,111,0,111,0,Rural
860Z200US46967,ZCTA5 46967,73,0,73,0,Rural
860Z200US46968,ZCTA5 46968,132,0,132,0,Rural
860Z200US46970,ZCTA5 46970,23317,15467,7850,0,Urban
860Z200US46971,ZCTA5 46971,0,0,0,0,Rural
